dateiname	tbeg_klass_art	erlaeuterung
lk19990825_1bvl000998	Regeln-Satz	automatisch annotiert in ebene-Tags
lk19990827_1bvl000796	Regeln-Satz	automatisch annotiert in ebene-Tags
lk19990827_1bvl001890	Regeln-Satz	automatisch annotiert in ebene-Tags
lk19991007_1bvl000793	Regeln-Satz	automatisch annotiert in ebene-Tags
lk19991130_1bvl000996	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20000125_1bvl003097	SVM-WE-Satz	automatisch annotiert in ebene-Tags
lk20000227_2bvl000498	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20000227_2bvl000895	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20000302_1bvl000499	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20000309_2bvl000899	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20000309_2bvl000997	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20000406_1bvl001899	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20000411_1bvl000200	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20000420_1bvl001898	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20000607_1bvl000199	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20000824_1bvl000298	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20000824_1bvl001398	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20000824_1bvl003294	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20000929_2bvl000600	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20001114_1bvl000989	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20001211_1bvl001500	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20010109_1bvl000600	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20010206_1bvl001600	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20010306_2bvl000296	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20010731_1bvl001399	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20011221_2bvl000301	Regeln-Absatz	automatisch annotiert in ebene-Tags
lk20020130_2bvl000200	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20020327_2bvl000202	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20020409_2bvl000795	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20020617_1bvl000901	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20020709_1bvl000599	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20020723_2bvl001498	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20021218_1bvl001402	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20030113_2bvl000900	Regeln-Satz	automatisch annotiert in ebene-Tags
